Код НО;Дата регистрации ККТ в НО;Адрес места установки;Регистрационный номер;Модель;Срок окончания действия ФН;Состояние;Заводской номер ККТ;Наименование ОФД;Заводской номер ФН;КПП;ККТ правопредшественника (1-да, 0-нет);ККТ используется при приеме денежных средств при реализации лотерейных билетов;ККТ используется при приеме ставок и выплате денежных средств в виде выигрыша;ККТ используется при осуществлении деятельности банковского платежного агента (субагента);ККТ входит в состав автоматического устройства для расчетов;ККТ используется для расчетов в информационно-телекоммуникационной сети «Интернет»;ККТ используется для развозной и (или) разносной торговли (оказания услуг, выполнения работ);ККТ применяется только при оказании услуг;ККТ используется при осуществлении деятельности платежного агента (субагента);ККТ используется при продаже подакцизных товаров;Наименование места установки ККТ;ККТ используется при осуществлении расчетов за маркированные товары
9965;23.03.2018 07:09:08;680000,РОССИЯ,27,Хабаровский край, ,Хабаровск г , , ,Волочаевская ул элем. улично-дорожн.сети,,д. 176, , , ,;0001704454028833;ШТРИХ-ЛАЙТ-01Ф;;ККТ снята с регистрации;0449190007014514;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;9288000100011848;272301001;0;2;2;2;2;2;2;2;2;2;оптика;2
9965;23.03.2018 09:59:44;680000,РОССИЯ,27,Хабаровский край, ,Хабаровск г , , ,Волочаевская ул элем. улично-дорожн.сети,,д. 176, , , ,;0001704444052846;ШТРИХ-ЛАЙТ-01Ф;;ККТ снята с регистрации;0035070007012692;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;9288000100011859;272301001;0;2;2;2;2;2;2;2;2;2;оптика;2
9965;23.03.2018 08:39:54;680051,РОССИЯ,27,Хабаровский край, ,Хабаровск г , , ,Ворошилова ул элем. улично-дорожн.сети,,д. 31, , , ,;0001704439009233;ШТРИХ-ЛАЙТ-01Ф;;ККТ снята с регистрации;0354030007014519;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;9288000100011824;272301001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;07.03.2018 10:09:42;680006,РОССИЯ,27,Хабаровский край, ,Хабаровск г , , ,Краснореченская ул элем. улично-дорожн.сети,,д. 147, , , ,;0001678365065232;ШТРИХ-ФР-01Ф;;ККТ снята с регистрации НО;0519470002005918;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;8710000101795280;272301001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;07.03.2018 09:43:17;680014,РОССИЯ,27,Хабаровский край, ,Хабаровск г , , ,ДОС (Большой Аэродром) кв-л элем. улично-дорожн.сети,,д. 51, , , ,;0001678355024228;ШТРИХ-ЛАЙТ-01Ф;;ККТ снята с регистрации;0633800007012565;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;9288000100011851;272301001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;07.03.2018 10:02:36;680023,РОССИЯ,27,Хабаровский край, ,Хабаровск г , , ,Вахова АА ул элем. улично-дорожн.сети,,д. 2, , , ,;0001678344059133;ШТРИХ-ЛАЙТ-01Ф;;ККТ снята с регистрации;0066630007012568;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;9288000100011862;272301001;0;2;2;2;2;2;2;2;2;2;оптика;2
9965;13.09.2022 07:20:02;684090,РОССИЯ,41,Камчатский край,Вилючинский ЗАТО г.о., ,Вилючинск г, ,Кронштадтская ул,,д. 1, , , ,;0006643224037264;РИТЕЙЛ-01ФМ;27.12.2023 12:00:00;ККТ зарегистрирована;0100150012155992;Общество с ограниченной ответственностью «Эвотор ОФД»;9960440302075124;272301001;0;2;2;2;2;2;2;2;2;2;684090 Камчатский край, г Вилючинск, ул Кронштадтская, д 1;1
9965;19.02.2020 12:25:40;684000,РОССИЯ,41,Камчатский край,Елизовский р-н м.р-н.,Елизово г , , ,Ленина ул элем. улично-дорожн.сети,,д. 5А, , , ,;0004368489033556;РИТЕЙЛ-01Ф;;ККТ снята с регистрации;0263870012155990;Общество с ограниченной ответственностью «Эвотор ОФД»;9280440300836535;272301001;0;2;2;2;2;2;2;2;2;2;Камчатский край, г Елизово, ул Ленина, д 5А  аптека;2
9965;01.09.2022 07:45:17;684000,РОССИЯ,41,Камчатский край,Елизовский м.р-н.,Елизовское г.п.,Елизово г, ,Ленина ул,,зд. 5а, , , ,;0006643221046261;РИТЕЙЛ-01ФМ;15.12.2023 12:00:00;ККТ зарегистрирована;0263870012155990;Общество с ограниченной ответственностью «Эвотор ОФД»;9960440302075027;272301001;0;2;2;2;2;2;2;2;2;2;684000 Камчатский край, Елизовский р-н, г Елизово, ул Ленина, зд 5а;1
9965;16.01.2020 07:51:25;683006,РОССИЯ,41,Камчатский край,Петропавловск-Камчатский м.р-н., ,Петропавловск-Камчатский г, ,Победы пр-кт,,д. 29, , , ,;0004285170003014;РИТЕЙЛ-01Ф;;ККТ снята с регистрации;0484490012146730;Общество с ограниченной ответственностью «Эвотор ОФД»;9280440300835028;272301001;0;2;2;2;2;2;2;2;2;2;683006, РОССИЯ, Петропавловск-Камчатский, Победы пр-кт,д. 29 ЗАПАСЫ;2
