Код НО;Дата регистрации ККТ в НО;Адрес места установки;Регистрационный номер;Модель;Срок окончания действия ФН;Состояние;Заводской номер ККТ;Наименование ОФД;Заводской номер ФН;КПП;ККТ правопредшественника (1-да, 0-нет);ККТ используется при приеме денежных средств при реализации лотерейных билетов;ККТ используется при приеме ставок и выплате денежных средств в виде выигрыша;ККТ используется при осуществлении деятельности банковского платежного агента (субагента);ККТ входит в состав автоматического устройства для расчетов;ККТ используется для расчетов в информационно-телекоммуникационной сети «Интернет»;ККТ используется для развозной и (или) разносной торговли (оказания услуг, выполнения работ);ККТ применяется только при оказании услуг;ККТ используется при осуществлении деятельности платежного агента (субагента);ККТ используется при продаже подакцизных товаров;Наименование места установки ККТ;ККТ используется при осуществлении расчетов за маркированные товары
9965;07.03.2018 08:57:26;654018,РОССИЯ,42,Кемеровская область - Кузбасс,Новокузнецкий м.р-н., ,Новокузнецк г,р-н Центральный,Транспортная ул,,зд. 136, , , ,;0001686515003970;РР-03Ф;;ККТ снята с регистрации;0052370014002068;Общество с ограниченной ответственностью «Эвотор ОФД»;9280440300792146;540201001;0;2;2;2;2;2;2;2;2;2;654018 Кемеровская область, Новокузнецк,  ул Транспортная, д 136;2
9965;07.03.2018 06:54:41;654080,РОССИЯ,42,Кемеровская область - Кузбасс, ,Новокузнецк г , , ,Кирова ул ,, 75, , , ,;0001686450059623;РР-03Ф;;ККТ снята с регистрации;0443870014002067;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;9286000100038354;540201001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;07.03.2018 06:53:41;654018,РОССИЯ,42,Кемеровская область - Кузбасс,Новокузнецкий м.р-н., ,Новокузнецк г,р-н Центральный,Циолковского ул,,д. 50, , , ,;0001686396058499;РР-03Ф;29.03.2023 12:00:00;ККТ перерегистрирована;0625060014002993;Общество с ограниченной ответственностью «Эвотор ОФД»;9960440300684744;540201001;0;2;2;2;2;2;2;2;2;2;654018, Кемеровская область, Новокузнецк, Циолковского  50;2
9965;07.03.2018 06:52:40;654079,РОССИЯ,42,Кемеровская область - Кузбасс, ,Новокузнецк г , , ,Металлургов пр-кт ,, 1, , , ,;0001686339020251;РР-03Ф;;ККТ снята с регистрации;0405740014002063;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;9286000100036411;540201001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;07.03.2018 06:51:33;654079,РОССИЯ,42,Кемеровская область - Кузбасс, ,Новокузнецк г , , ,Металлургов пр-кт ,, 1, , , ,;0001686230061326;РР-03Ф;;ККТ снята с регистрации;0397750014002996;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;9286000100038233;540201001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;06.03.2018 08:59:48;654006,РОССИЯ,42,Кемеровская область - Кузбасс, ,Новокузнецк г , , ,Хлебозаводская ул ,, стр 19, , , ,;0001686086047552;РР-03Ф;;ККТ снята с регистрации НО;0417990014002998;Общество с ограниченной ответственностью «ПЕТЕР-СЕРВИС Спецтехнологии»;8710000101211391;540201001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;06.03.2018 08:57:52;653000,РОССИЯ,42,Кемеровская область - Кузбасс, ,Прокопьевск г , , ,Шахтеров пр-кт элем. улично-дорожн.сети,,д. 37, , , ,;0001686055001684;РР-03Ф;;ККТ снята с регистрации;0652130014003059;Общество с ограниченной ответственностью «Эвотор ОФД»;9280440300794587;540201001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;06.03.2018 08:48:07;650066,РОССИЯ,42,Кемеровская область - Кузбасс,Кемеровский г.о., ,Кемерово г, ,Ленина пр-кт,,д. 66Б, , , ,;0001686001020584;РР-03Ф;;ККТ снята с регистрации;0171830014002219;Общество с ограниченной ответственностью «Эвотор ОФД»;9280440300794080;540201001;0;2;2;2;2;2;2;2;2;2;г Кемерово, пр-кт Ленина, д 66Б;2
9965;06.03.2018 08:46:41;650065,РОССИЯ,42,Кемеровская область - Кузбасс, ,Кемерово г , , ,Ленинградский пр-кт элем. улично-дорожн.сети,,д. 28В, , , ,;0001685984048734;РР-03Ф;;ККТ снята с регистрации;0567310014002195;Общество с ограниченной ответственностью «Эвотор ОФД»;9280440300793602;540201001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;06.03.2018 08:45:54;650040,РОССИЯ,42,Кемеровская область - Кузбасс, ,Кемерово г , , ,Баумана ул элем. улично-дорожн.сети,,д. 20, , , ,;0001685954034824;РР-03Ф;;ККТ снята с регистрации;0651490014002194;Общество с ограниченной ответственностью «Эвотор ОФД»;9280440300794079;540201001;0;2;2;2;2;2;2;2;2;2;аптека;2
9965;06.03.2018 08:54:35;654006,РОССИЯ,42,Кемеровская область - Кузбасс, ,Новокузнецк г ,Центральный р-н н.п., ,Хлебозаводская ул элем. улично-дорожн.сети,,д. 19, , , ,;0001685930028323;РР-03Ф;;ККТ снята с регистрации;0111010014002200;Общество с ограниченной ответственностью «Эвотор ОФД»;9282000100263339;540201001;0;2;2;2;2;2;2;2;2;2;Кемеровская область г Новокузнецк,  ул Хлебозаводская, д 19 аптека;2
